0 sent the ball, volley count 1,to 1 
1 received the ball, volley count 1, from 0 
1 sent the ball, volley count 2,to 0 
0 received the ball, volley count 2, from 1 
0 sent the ball, volley count 3,to 1 
1 received the ball, volley count 3, from 0 
1 sent the ball, volley count 4,to 0 
0 received the ball, volley count 4, from 1 
0 sent the ball, volley count 5,to 1 
1 received the ball, volley count 5, from 0 
1 sent the ball, volley count 6,to 0 
0 received the ball, volley count 6, from 1 
0 sent the ball, volley count 7,to 1 
1 received the ball, volley count 7, from 0 
1 sent the ball, volley count 8,to 0 
0 received the ball, volley count 8, from 1 
0 sent the ball, volley count 9,to 1 
1 received the ball, volley count 9, from 0 
1 sent the ball, volley count 10,to 0 
0 received the ball, volley count 10, from 1 
0 sent the ball, volley count 11,to 1 
1 received the ball, volley count 11, from 0 
To you, from failing hands, we throw the ball. it took 4.72069e-05 per volley, for a message of 8 bytes.
0 sent the ball, volley count 1,to 1 
1 received the ball, volley count 1, from 0 
1 sent the ball, volley count 2,to 0 
0 received the ball, volley count 2, from 1 
0 sent the ball, volley count 3,to 1 
1 received the ball, volley count 3, from 0 
1 sent the ball, volley count 4,to 0 
0 received the ball, volley count 4, from 1 
0 sent the ball, volley count 5,to 1 
1 received the ball, volley count 5, from 0 
1 sent the ball, volley count 6,to 0 
0 received the ball, volley count 6, from 1 
0 sent the ball, volley count 7,to 1 
1 received the ball, volley count 7, from 0 
1 sent the ball, volley count 8,to 0 
0 received the ball, volley count 8, from 1 
0 sent the ball, volley count 9,to 1 
1 received the ball, volley count 9, from 0 
1 sent the ball, volley count 10,to 0 
0 received the ball, volley count 10, from 1 
0 sent the ball, volley count 11,to 1 
1 received the ball, volley count 11, from 0 
To you, from failing hands, we throw the ball. it took 2.8801e-05 per volley, for a message of 80 bytes.
0 sent the ball, volley count 1,to 1 
1 received the ball, volley count 1, from 0 
1 sent the ball, volley count 2,to 0 
0 received the ball, volley count 2, from 1 
0 sent the ball, volley count 3,to 1 
1 received the ball, volley count 3, from 0 
1 sent the ball, volley count 4,to 0 
0 received the ball, volley count 4, from 1 
0 sent the ball, volley count 5,to 1 
1 received the ball, volley count 5, from 0 
1 sent the ball, volley count 6,to 0 
0 received the ball, volley count 6, from 1 
0 sent the ball, volley count 7,to 1 
1 received the ball, volley count 7, from 0 
1 sent the ball, volley count 8,to 0 
0 received the ball, volley count 8, from 1 
0 sent the ball, volley count 9,to 1 
1 received the ball, volley count 9, from 0 
1 sent the ball, volley count 10,to 0 
0 received the ball, volley count 10, from 1 
0 sent the ball, volley count 11,to 1 
1 received the ball, volley count 11, from 0 
To you, from failing hands, we throw the ball. it took 3.04937e-05 per volley, for a message of 800 bytes.
0 sent the ball, volley count 1,to 1 
1 received the ball, volley count 1, from 0 
1 sent the ball, volley count 2,to 0 
0 received the ball, volley count 2, from 1 
0 sent the ball, volley count 3,to 1 
1 received the ball, volley count 3, from 0 
1 sent the ball, volley count 4,to 0 
0 received the ball, volley count 4, from 1 
0 sent the ball, volley count 5,to 1 
1 received the ball, volley count 5, from 0 
1 sent the ball, volley count 6,to 0 
0 received the ball, volley count 6, from 1 
0 sent the ball, volley count 7,to 1 
1 received the ball, volley count 7, from 0 
1 sent the ball, volley count 8,to 0 
0 received the ball, volley count 8, from 1 
0 sent the ball, volley count 9,to 1 
1 received the ball, volley count 9, from 0 
1 sent the ball, volley count 10,to 0 
0 received the ball, volley count 10, from 1 
0 sent the ball, volley count 11,to 1 
1 received the ball, volley count 11, from 0 
