             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7300717  largemem wrfD3-02 xiangyuj CG      32:54      1 cpn-f07-34
           7345179  largemem 134-acet adamphil PD       0:00      2 (Resources)
           7345181  largemem 134-diet adamphil PD       0:00      2 (Priority)
           7345228  largemem acetone- adamphil PD       0:00      2 (Priority)
           7348391  largemem FISBATCH  hwang48 PD       0:00      1 (Priority)
           7348390  largemem FISBATCH  hwang48 PD       0:00      1 (Priority)
  7348439_[86-550] general-c test-arr  sparida PD       0:00      1 (Resources)
           7348427 general-c    Job16 mriganka PD       0:00      2 (Priority)
           7348428 general-c    Job17 mriganka PD       0:00      2 (Priority)
           7348429 general-c    Job18 mriganka PD       0:00      2 (Priority)
           7348021 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348022 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348023 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348024 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348025 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348026 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348027 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348020 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348033 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348034 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348035 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348036 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348037 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348032 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348028 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348029 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348030 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348031 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348038 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348039 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348040 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348041 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348042 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348044 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348045 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348046 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348047 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348048 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348049 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348050 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348051 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348052 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348053 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348054 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348055 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348056 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348057 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348058 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348059 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348060 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348061 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348062 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348063 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348064 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348065 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348066 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348067 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348068 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348069 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348070 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348071 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348072 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348073 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348074 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348075 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348076 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348077 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348078 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348079 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348080 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348081 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348082 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348083 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348084 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348085 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348086 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348087 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348088 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348089 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348090 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348091 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348092 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348093 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348094 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348095 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348096 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348097 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348098 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
