             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7406195     debug FISBATCH ahreumka PD       0:00      4 (ReqNodeNotAvail, UnavailableNodes:cpn-d07-15-01,cpn-d07-17-01,cpn-d07-27-01,cpn-d07-36-02,cpn-d09-07-01,cpn-d09-10-01,cpn-d09-15-01,cpn-d09-27-02,cpn-d09-28-01,cpn-d09-29-02,cpn-d09-30-01,cpn-d09-33-01,cpn-d09-34-02,cpn-d09-35-01,cpn-d09-36-[01-02],cpn-d09-38-01,cpn-d09-40-[01-02],cpn-d14-23,cpn-d15-[03-04,27],cpn-d16-34,cpn-f07-09,cpn-k05-31-02,cpn-k06-11-01,cpn-k06-31-02,cpn-k07-01-[01-02],cpn-k07-02-02,cpn-k08-02-02,cpn-k08-03-02,cpn-k08-18-02,cpn-k08-19-[01-02],cpn-k08-40-02,cpn-k08-41-02,cpn-k10-23-01,cpn-k13-28-01,cpn-k14-25-01,cpn-k16-07-02,cpn-k16-18-01,cpn-k16-40-02)
           7400679  largemem FISBATCH  hwang48 PD       0:00      1 (Resources)
           7406228 general-c   164_S3    duoxu PD       0:00      4 (Priority)
           7406227 general-c   22_S24    duoxu PD       0:00      4 (Priority)
           7406226 general-c    21_S1    duoxu PD       0:00      4 (Resources)
           7406245 general-c  461_S12    duoxu PD       0:00      4 (Priority)
           7406244 general-c   458_S9    duoxu PD       0:00      4 (Priority)
           7406243 general-c  454_S11    duoxu PD       0:00      4 (Priority)
           7406241 general-c   437_S7    duoxu PD       0:00      4 (Priority)
           7406242 general-c   439_S8    duoxu PD       0:00      4 (Priority)
           7406240 general-c  430_S15    duoxu PD       0:00      4 (Priority)
           7406239 general-c   446_S6    duoxu PD       0:00      4 (Priority)
           7406238 general-c  445_S21    duoxu PD       0:00      4 (Priority)
           7406236 general-c  431_S20    duoxu PD       0:00      4 (Priority)
           7406237 general-c  444_S23    duoxu PD       0:00      4 (Priority)
